Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0603_1608Metric,196.129603,-126.605,180.0,top
C2,100n,C_0402_1005Metric,197.1348,-128.345,-90.0,top
C3,100n,C_0402_1005Metric,197.4596,-65.6108,-90.0,top
C4,100n,C_0402_1005Metric,195.918603,-128.344,-90.0,top
C5,100u,C_1206_3216Metric,221.4,-87.7,0.0,top
C6,100u,C_1206_3216Metric,214.333,-82.4564,-90.0,top
C7,100n,C_0402_1005Metric,203.327,-63.5,180.0,top
C8,100n,C_0402_1005Metric,200.759,-63.5,180.0,top
C9,100n,C_0402_1005Metric,176.4,-68.3584,180.0,top
C11,100u,C_1206_3216Metric,222.333,-82.4564,-90.0,top
C12,100n,C_0402_1005Metric,221.4564,-90.9644,0.0,top
C23,100u,C_1206_3216Metric,218.1996,-82.4564,-90.0,top
C24,10u,C_0603_1608Metric,204.021,-73.279,90.0,top
C25,10u,C_0603_1608Metric,213.038,-66.675,180.0,top
C26,100n,C_0402_1005Metric,172.847,-70.739,90.0,top
C27,100n,C_0402_1005Metric,225.552,-63.6016,90.0,top
C28,100n,C_0402_1005Metric,224.5196,-140.072,180.0,top
C29,100n,C_0402_1005Metric,230.21,-61.0087,-90.0,top
C30,10u,C_0603_1608Metric,240.03,-96.139,0.0,top
C31,10u,C_0603_1608Metric,235.6104,-96.266,180.0,top
C32,100u,C_1206_3216Metric,215.0754,-87.7,0.0,top
C33,10u,C_0603_1608Metric,218.175,-90.9136,180.0,top
D1,Red,D_0603_1608Metric,190.4598,-126.865,90.0,top
D2,Green,D_0603_1608Metric,192.3648,-126.865,90.0,top
J1,XT60PW-M,AMASS_XT60PW-M,167.545,-55.6,90.0,top
Q1,Q_PMOS_GDS,TO-252-2,200.914,-55.88,90.0,top
Q14,Q_NMOS_GSD,SOT-23,227.076,-68.58,180.0,top
Q16,Q_NMOS_GDS,TO-252-2,248.158,-81.534,90.0,top
Q17,Q_NMOS_GDS,TO-252-2,240.031,-81.569,90.0,top
Q22,S8050_SMD,SOT-23,235.331,-99.1108,0.0,top
Q23,S8050_SMD,SOT-23,235.331,-93.599,0.0,top
Q24,S8550,SOT-23,240.665,-99.1108,0.0,top
Q25,S8050_SMD,SOT-23,240.665,-93.599,0.0,top
R1,1k5,R_0402_1005Metric,190.4598,-124.071,-90.0,top
R2,3.3M,R_0402_1005Metric,199.7456,-65.5828,-90.0,top
R3,1k5,R_0402_1005Metric,192.3648,-124.069,-90.0,top
R4,100R,R_0402_1005Metric,198.473,-63.5,0.0,top
R5,0.75mR,res_5930,181.61,-57.404,90.0,top
R6,330R,R_0402_1005Metric,204.021,-69.977,90.0,top
R7,220R,R_0402_1005Metric,209.482,-66.675,0.0,top
R22,4k7,R_0402_1005Metric,213.4,-129.034,-90.0,top
R24,4k7,R_0402_1005Metric,211.5712,-129.034,-90.0,top
R27,0.75mR,res_5930,226.06,-54.356,180.0,top
R28,4k7,R_0402_1005Metric,223.901,-67.564,90.0,top
R29,100R,R_1206_3216Metric,237.0328,-62.0883,-90.0,top
R30,330R,R_0402_1005Metric,231.14,-67.818,-90.0,top
R31,100R,R_1206_3216Metric,240.0808,-62.0883,-90.0,top
R32,100R,R_1206_3216Metric,243.1288,-62.0883,-90.0,top
R33,100R,R_1206_3216Metric,246.1768,-62.1498,-90.0,top
R34,100R,R_1206_3216Metric,248.9708,-62.0883,-90.0,top
R35,100R,R_1206_3216Metric,251.7648,-62.0883,-90.0,top
R45,4k7,R_0402_1005Metric,232.5116,-98.6536,90.0,top
R46,4k7,R_0402_1005Metric,232.6132,-93.1672,90.0,top
R47,1k5,R_0402_1005Metric,237.998,-98.6008,90.0,top
R48,1k5,R_0402_1005Metric,237.998,-94.107,-90.0,top
R49,100R,R_0402_1005Metric,245.87,-97.0661,0.0,top
R50,100R,R_0402_1005Metric,245.87,-95.9231,0.0,top
R51,100R,R_0402_1005Metric,245.87,-94.7801,0.0,top
R52,100R,R_0402_1005Metric,245.868,-93.6371,0.0,top
R53,3.3M,R_0402_1005Metric,245.872,-98.3361,180.0,top
RV1,10k,RK09_THT_Pot_C209770,177.8528,-129.883,90.0,top
SW1,SW_Push,SW_SPST_TL3342,212.222,-139.827,-90.0,top
SW2,SW_Push,SW_SPST_TL3342,203.205,-139.725,-90.0,top
SW3,SW_Push,SW_SPST_TL3342,181.4576,-140.5636,0.0,top
U1,TMP117,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,227.954,-60.7547,0.0,top
U2,STM32G030XX,TSSOP-20_4.4x6.5mm_P0.65mm,203.8878,-128.653,0.0,top
U4,INA219AxD,SOIC-8_3.9x4.9mm_P1.27mm,182.118,-69.088,0.0,top
U5,TMP117,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,174.6758,-70.7898,-90.0,top
U6,TMP117,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,227.8952,-140.0556,180.0,top
U7,LM317_TO-252,TO-252-2,211.387,-71.755,0.0,top
U8,INA219AxD,SOIC-8_3.9x4.9mm_P1.27mm,220.98,-62.23,0.0,top
